Feature,Importance
"Github mirror of Gadgetbridge - A free and cloudless replacement for your gadget vendors' closed source Android applications. Supports Pebble, Mi Band, Liveview, HPlus and more._A library for debugging android databases and shared preferences - Make Debugging Great Again",0.048545390816684186
"Github mirror of Gadgetbridge - A free and cloudless replacement for your gadget vendors' closed source Android applications. Supports Pebble, Mi Band, Liveview, HPlus and more._Open source Old School RuneScape client",0.04661759551349456
Freeyourgadget_runelite,0.045566070802663866
Freeyourgadget_amitshekhariitbhu,0.04346302138100245
"activity post processing,activity/health,android integrations/notifications,bug,charts,device amazfit bip,device amazfit cor,device h30,device hplus,device liveview,device mi,device mi2,device mi3,device no.1 f1,device pace,device pebble,device pebble 2,device request,device watch 9,discussion,documentation,duplicate,enhancement,feature request,help wanted,invalid,needs work,no feedback,not a bug,one of the 1000 issues about disconnection,pairing/connecting,potentially fixed / needs confirmation,question,research,security,task,user interface / UX,wontfix_Hacktoberfest,bug,clues,discord,discussion,duplicate,enhancement,feature-request,good-for-first-contribution,gpu,help wanted,internal,invalid,item-stats,jagex-bug,jvm-bug,loot-tracker,needs-information,regression,skill-calc,skybox,wontfix,worldmap",0.04276200490711532
app/src/main/java/nodomain/freeyourgadget/gadgetbridge/model/DeviceType.java_debug-db/src/main/java/com/amitshekhar/utils/DatabaseHelper.java,0.03645285664213109
"activity post processing,activity/health,android integrations/notifications,bug,charts,device amazfit bip,device amazfit cor,device h30,device hplus,device liveview,device mi,device mi2,device mi3,device no.1 f1,device pace,device pebble,device pebble 2,device request,device watch 9,discussion,documentation,duplicate,enhancement,feature request,help wanted,invalid,needs work,no feedback,not a bug,one of the 1000 issues about disconnection,pairing/connecting,potentially fixed / needs confirmation,question,research,security,task,user interface / UX,wontfix_bug,duplicate,enhancement,help wanted,invalid,question,wontfix",0.03487556957588503
ece0f094eb56219ae5188dcd37b90590a9f4029d_b6775a1f619e29659b2d32fd1f606b3f228fbabf,0.03434980722046968
000f1ab4780fc9460975791c52597f7c04e15be7_b47765c53a822e025e509fe9bed8956797337ba5,0.032772520154223626
000f1ab4780fc9460975791c52597f7c04e15be7_26c95c7629e5433d8e0c1feb4b6af8a96563c492,0.03119523308797757
